People,PPV,Haversine 
312,58,5.644048476
313,0,5.752851843
314,19,4.509481162
315,19,2.373028187
316,40,4.944927447
317,40,2.565479379
318,5,0.836819212
319,40,7.542007361
320,92,2.476707716
321,19,1.150165881
322,0,5.45243856
323,19,0.90922871
324,0,3.974394994
325,70,4.651710812
326,2,1.31502671
327,39,3.334492412
328,70,2.885986468
329,40,2.459329762
330,44,4.296389462
331,31,5.122276677
332,92,1.649860068
333,0,4.012690952
334,19,4.035687475
335,0,6.262497881
336,0,3.553011144
337,92,2.933265465
338,44,1.477762099
339,2,3.712479312
340,40,5.462679909
341,70,0.872858309
342,0,4.932185134
343,40,1.852040181
344,2,1.276911196
345,44,5.501285207
346,19,2.868769132
347,92,2.527615715
348,19,2.297592366
349,44,2.92096344
350,31,2.203151371
351,44,7.834962712
352,44,5.450417595
353,5,1.881979587
354,40,4.406722811
355,39,2.995382673
356,58,0.991584377
357,40,3.435211574
358,0,5.022875072
359,58,4.024637498
360,44,0.576502035
361,71,2.939765591
362,71,2.339280048
363,58,2.97983595
364,2,4.748422405
365,15,3.150724742
366,44,2.284940045
367,0,2.596980439
368,44,2.551088916
369,40,0.803827982
370,58,4.794376152
371,0,5.470357849
372,40,3.294276661
373,58,3.271109279
374,0,7.014133443
375,0,5.280118993
376,0,5.948700008
377,44,1.975638298
378,58,1.28041859
379,97,1.568790475
380,70,1.559151408
381,44,6.576612484
382,40,3.59155974
383,0,6.14339847
384,15,3.095996854
385,44,4.036370241
386,97,4.904399704
387,70,3.152124093
388,0,3.983998346
389,31,3.733708723
390,70,5.805088625
391,97,1.689531888
392,58,1.478612023
393,19,0.667958438
394,40,5.418647205
395,71,1.439715691
396,40,8.646451956
397,40,0.353661756
398,44,4.870838829
399,2,3.744491926
400,31,3.463069862
401,92,1.635259912
402,31,4.175511624
403,2,2.79408405
404,44,2.511625777
405,0,1.01072047
406,0,1.511718873
407,44,5.228897883
408,0,5.428860217
409,70,0.335652313
410,44,6.782615628
411,70,2.515283874
412,19,3.323261356
413,44,2.934054155
414,44,2.972423457
415,0,5.618163937
416,0,4.964217244
417,58,1.912392443
418,31,4.362437608
419,97,0.452226838
420,70,1.531953023
421,58,5.156269376
422,44,4.074965366
423,19,3.288580359
424,40,1.194100347
425,58,6.44232209
426,58,2.450123177
427,44,1.110984889
428,19,4.599188768
429,40,1.156420087
430,40,2.050333642
431,40,3.51314062
432,58,2.453909913
433,92,2.034288112
434,58,1.503261799
435,31,3.894815791
436,70,3.320430077
437,44,5.119440133
438,44,2.217996898
439,58,5.278120419
440,92,3.334447564
441,92,2.988257214
442,44,5.554375132
443,39,1.612819925
444,39,1.66119706
445,40,1.811776544
446,39,3.230223768
447,19,3.116754956
448,40,1.311902852
449,40,2.169642596
450,97,3.514574714
451,19,3.074353028
452,58,5.728123396
453,31,3.552901942
454,40,2.26962473
455,40,2.357964359
456,40,6.49666067
457,0,6.699235757
458,40,7.458725931
459,19,1.884669923
460,92,2.038675197
461,44,3.690983332
462,0,7.213861367
463,0,2.433465114
464,19,2.578992699
465,40,6.769343975
466,97,3.261674806
467,44,3.702812136
468,19,2.575140115
469,44,5.41800115
470,0,2.084615923
471,31,4.037446051
472,97,3.727815516
473,70,0.791900333
474,19,0.495247488
475,44,3.144899251
476,0,4.492113658
477,31,3.287408633
478,97,5.10009325
479,2,0.984012555
480,0,4.338256622
481,40,4.649657994
482,0,0.578976128
