Performance
117.9394726
116.6889454
119.7164292
121.0521758
114.3996037
116.1704499
119.788981
114.8448509
117.1094904
114.1972245
113.9177791
114.9317434
114.8858707
119.0050618
115.5953918
117.1668895
114.0062431
114.6579713
112.5494266
112.5327934
113.6740322
113.7396299
112.6431607
113.8075985
115.5904982
113.4776403
113.5054503
114.1216336
114.8017978
115.1109376
114.9353397
115.1531433
114.1729006
114.3700395
115.0091928
114.2104821
114.8726937
113.9912502
113.1266385
114.4820813
115.6784097
116.2588652
120.544526
117.2533172
119.8873166
122.0997061
118.8933394
117.7005337
118.5451343
118.3051279
